"B01001_001E","B11001_001E","B19049_005E","zipcode"
"16775","7016","28368","01001"
"27684","9427","75417","01002"
"11516","13","0","01003"
"5045","1892","30450","01005"
"14479","5605","34714","01007"
"1196","473","48214","01008"
"663","313","36667","01009"
"3582","1385","34201","01010"
"1331","542","41806","01011"
"509","238","24293","01012"
"22391","9102","23797","01013"
"30225","12913","29318","01020"
"2589","1121","45577","01022"
"1100","451","40750","01026"
"17641","8090","32975","01027"
"15555","5660","34829","01028"
"577","251","56000","01029"
"11633","4490","36654","01030"
"1524","601","31513","01031"
"681","272","45417","01032"
"6159","2584","45040","01033"
"1856","707","55455","01034"
"5209","2048","51726","01035"
"5078","1904","44850","01036"
"819","241","75250","01037"
"2553","1151","44432","01038"
"1470","690","17375","01039"
"39897","16012","28673","01040"
"2656","1090","24485","01050"
"1913","614","92045","01053"
"1756","702","76528","01054"
"21131","7876","30290","01056"
"8492","3362","34355","01057"
"14984","6631","35994","01060"
"11027","4608","34481","01062"
"697","0","0","01063"
"0","0","0","01066"
"1822","680","37143","01068"
"8935","3579","27656","01069"
"580","242","36667","01070"
"1619","615","26250","01071"
"1518","623","63929","01072"
"5758","2261","25676","01073"
"338","173","32500","01074"
"17566","6822","45453","01075"
"9425","3657","34811","01077"
"195","88","19250","01079"
"2527","1057","29250","01080"
"1812","730","38036","01081"
"10175","4499","25263","01082"
"2928","1156","32596","01083"
"235","111","67917","01084"
"40212","15457","24693","01085"
"1463","0","0","01086"
"719","409","16250","01088"
"28320","11571","32975","01089"
"1460","568","41875","01092"
"355","137","32500","01093"
"214","154","15500","01094"
"14183","5417","30233","01095"
"2078","878","35357","01096"
"53","15","25417","01097"
"1136","516","33333","01098"
"2481","1545","10903","01103"
"23038","8876","15281","01104"
"13105","5217","17932","01105"
"16087","5765","47134","01106"
"11368","3773","15795","01107"
"24808","9155","32267","01108"
"31134","9436","25421","01109"
"13754","5675","32292","01118"
"15044","5138","27854","01119"
"2536","1036","40625","01128"
"7165","2835","31275","01129"
"8244","3365","23793","01151"
"0","0","0","01199"
"46257","20651","30214","01201"
"8706","3896","29545","01220"
"783","356","81125","01222"
"2358","1030","29375","01223"
"249","72","0","01224"
"3033","1282","33533","01225"
"6971","2740","33704","01226"
"178","66","0","01229"
"8697","3472","41204","01230"
"2861","1147","39762","01235"
"1323","591","56295","01236"
"2544","1017","32143","01237"
"6209","2579","33264","01238"
"4418","1958","40109","01240"
"578","120","35234","01242"
"249","111","32083","01243"
"172","54","0","01244"
"833","322","49821","01245"
"16213","6885","25859","01247"
"584","279","34643","01253"
"1187","482","63636","01254"
"985","381","31667","01255"
"706","293","23906","01256"
"2138","957","48571","01257"
"262","121","39167","01258"
"516","216","21750","01259"
"73","49","44583","01260"
"1040","462","43281","01262"
"138","75","56667","01264"
"1686","722","49688","01266"
"8035","2939","52841","01267"
"798","282","35417","01270"
"17822","7825","32996","01301"
"1574","666","51786","01330"
"13456","5199","31490","01331"
"2569","1112","28438","01337"
"245","82","73542","01338"
"1441","624","44330","01339"
"1734","705","38929","01340"
"1753","688","46167","01341"
"1234","469","90268","01342"
"113","46","44688","01343"
"1454","571","30500","01344"
"395","173","63750","01346"
"74","29","0","01347"
"980","414","32813","01349"
"122","72","18036","01350"
"2407","1066","44808","01351"
"1428","566","29250","01354"
"843","352","38250","01355"
"3034","1276","31328","01360"
"7942","3393","21108","01364"
"1335","472","33194","01366"
"450","213","33958","01367"
"1058","455","47083","01368"
"4362","1735","39327","01370"
"4770","2049","33068","01373"
